anny;districte;barri;senseDones;primarisDones;secundarisDones;mitjansDones;superiorsDones;senseHomes;primarisHomes;secundarisHomes;mitjansHomes;superiorsHomes
2014;9;59. el Bon Pastor;703;1398;1429;992;681;470;1433;1688;1091;510
2014;9;60. Sant Andreu;2061;5337;6123;6307;6129;1245;3846;5907;7159;4417
2014;9;61. la Sagrera;1094;2953;3314;3323;2975;646;2108;3143;3584;2179
2014;9;62. el Congres i els Indians;595;1435;1487;1629;1577;294;937;1431;1695;1099
2014;9;63. Navas;779;2240;2427;2564;2369;414;1397;2266;2791;1928
2014;10;64. el Camp de l Arpa del Clot;1225;3576;3967;4394;4900;668;2452;3746;4801;3962
2014;10;65. el Clot;905;2462;2858;3006;3006;549;1884;2905;3358;2467
2014;10;66. el Parc i la Llacuna del Poblenou;445;1181;1335;1603;2161;270;916;1382;1757;1903
2014;10;67. la Vila Olimpica del Poblenou;145;265;578;880;2076;115;190;501;952;1962
2014;10;68. el Poblenou;1182;2623;2891;3312;4441;694;2180;3099;3686;3724
2014;10;69. Diagonal Mar i el Front Maritim del Poblenou;387;778;909;1205;2240;222;586;979;1341;1974
2014;10;70. el Besos i el Maresme;1610;2670;2671;1693;1012;1028;3376;3145;1736;788
2014;10;71. Provencals del Poblenou;853;1872;2153;2102;1988;545;1538;2255;2330;1614
2014;10;72. Sant Marti de Provencals;1398;3049;2912;2695;2086;737;2190;3007;2961;1589
2014;10;73. la Verneda i la Pau;1980;3425;3591;2720;1619;1203;2784;3735;2933;1168
2013;1;1. el Raval;1903;5566;3897;3486;4468;1519;8851;5077;4037;4328
2013;1;2. el Barri Gotic;484;1114;1090;1571;2634;413;1711;1467;1908;2475
2013;1;3. la Barceloneta;968;1615;1516;1280;1651;567;1668;1861;1463;1425
2013;1;4. Sant Pere, Santa Caterina i la Ribera;876;1848;1565;2092;3858;594;2021;1911;2363;3333
2013;2;5. el Fort Pienc;843;2415;2773;3801;5123;524;1621;2365;3956;4369
2013;2;6. la Sagrada Familia;1600;4604;4888;6051;8077;915;2745;4244;6354;6554
2013;2;7. la Dreta de l'Eixample;908;2321;2888;5387;9468;501;1173;2179;4825;8299
2013;2;8. l'Antiga Esquerra de l'Eixample;945;2563;3077;5216;8450;555;1386;2481;4909;7465
2013;2;9. la Nova Esquerra de l'Eixample;1493;4394;4816;7141;10068;857;2462;4016;7237;8824
2013;2;10. Sant Antoni;1295;3491;3456;4267;5707;678;2414;3201;4622;4909
2013;3;11. el Poble Sec - AEI Parc Montjuic;1799;4724;3862;3670;4333;1088;4729;4245;4087;3482
2013;3;12. la Marina del Prat Vermell - AEI Zona Franca;110;178;118;55;24;94;158;176;55;14
2013;3;13. la Marina de Port;1695;3732;3280;2822;1800;1131;3143;3530;3047;1329
2013;3;14. la Font de la Guatlla;407;1043;1006;1103;1314;236;777;980;1235;1002
2013;3;15. Hostafrancs;627;1632;1563;1662;1874;393;1443;1547;1799;1527
2013;3;16. la Bordeta;798;2047;2000;2042;1757;462;1512;1978;2267;1362
2013;3;17. Sants - Badal;1106;2765;2486;2573;2591;656;2182;2445;2722;2006
